Label;Category;Country;Rating;Raters;Price;Sugar
10 Cane Light;Light;Trinidad;6,5;59;NA;NA
1931 81st Anniversary;Aged;St. Lucia;8,8;12;80,61;0
1931 82nd Anniversary;Aged;St. Lucia;7,4;15;NA;0
A. H. Riise 1888 Copenhagen Gold Medal;Aged;Denmark;8;14;NA;NA
A. H. Riise Family Reserve Solera;Aged;Denmark;7,5;19;NA;NA
A. H. Riise Navy Strength 55%;Gold;Denmark;8,3;26;NA;96
A. H. Riise Non Plus Ultra Very Rare;Aged;Denmark;8,1;43;157,61;82
A. H. Riise Royal Danish Navy;Gold;Denmark;7,6;42;NA;66
A. H. Riise XO 175 Years Anniversary;Aged;Denmark;7,4;12;NA;NA
A. H. Riise XO Reserve;Aged;Denmark;7;43;NA;NA
A. H. Riise XO Reserve Christmas;Aged;Denmark;6,8;18;NA;NA
A. H. Riise XO Reserve Sauternes Cask;Aged;Denmark;6,8;20;70,39;NA
Abuelo 12 Anos Gran Reserva;Aged;Panama;7,8;106;NA;29
Abuelo 7 Anos Reserva Superior;Aged;Panama;7,1;66;NA;20
Abuelo Anejo;Gold;Panama;6,6;48;NA;27
Abuelo Centuria;Aged;Panama;8,9;67;153,89;27
Admiral Nelsons Premium Spiced;Spiced;USA;6,1;22;NA;NA
Admiral Rodney Extra Old 12-Year;Aged;St. Lucia;7,9;75;53,8;0
Angostura 1824;Aged;Trinidad;8;112;83,63;18
Angostura 1919;Aged;Trinidad;7,1;203;38,86;13
Angostura 5-Year;Gold;Trinidad;6,1;15;20,44;0
Angostura 7-Year;Aged;Trinidad;6,5;31;20,74;NA
Angostura Cask Collection Number 1 Batch 1;Aged;Trinidad;8,7;19;75,41;32
Angostura Cask Collection Number 1 Batch 2;Aged;Trinidad;8,6;11;NA;NA
Angostura Single Barrel Reserve;Aged;Trinidad;7,1;9;NA;NA
Angostura White Reserva;NA;Trinidad;6,1;9;NA;NA
Appleton Estate 12-Year;Aged;Jamaica;7,2;271;34,49;0
Appleton Estate 21-Year;Aged;Jamaica;8,3;85;113,6;0
Appleton Estate 30-Year Limited Edition;Aged;Jamaica;8,8;12;NA;0
Appleton Estate 50-Year;Aged;Jamaica;9,3;9;NA;0
Appleton Estate 8-Year;Aged;Jamaica;6,5;44;29,2;0
Appleton Estate Rare Blend 12-Year;Gold;Jamaica;7,6;12;NA;0
Appleton Estate Reserve;Gold;Jamaica;6,7;59;23,46;0
Appleton Estate Reserve Blend;Gold;Jamaica;5,5;13;NA;0
Appleton Estate Signature Blend;Light;Jamaica;5,5;24;NA;0
